PERIOD_DS,REGION,TRAFFIC_SOURCE,LANDING_PAGE,USERSHIP,AOV,CONVERSION_RATE,BUY2SESSION_RATE,COMMISSION_RATE,ORDER_COUNT,LEAD_GEN_RATE,SESSION_COUNT,PI_COUNT
2023-01-01,RoW,PAID,nan,web only,236.0,1.0,0.0,22.0,4.0,29.0,1958.0,567.82
2023-01-01,RoW,PAID,onboarding,app and web,359.0,4.0,1.0,15.0,86.0,17.0,11997.0,2039.49
2023-01-01,RoW,PAID,onboarding,app only,252.0,3.0,0.0,15.0,18.0,4.0,15208.0,608.32
2023-01-01,RoW,PAID,others,app and web,312.0,2.0,0.0,15.0,437.0,15.0,139156.0,20873.4
2023-01-01,RoW,PAID,others,app only,244.0,1.0,0.0,16.0,40.0,5.0,102022.0,5101.1
2023-01-01,RoW,PAID,others,no on lyst view,,0.0,0.0,,0.0,64.0,223.0,142.72
2023-01-01,RoW,PAID,others,web only,335.0,1.0,0.0,14.0,1633.0,24.0,931052.0,223452.48
2023-01-01,RoW,PAID,pdp_in_stock,app and web,333.0,2.0,1.0,15.0,162.0,37.0,19262.0,7126.94
2023-01-01,RoW,PAID,pdp_in_stock,app only,,,0.0,,,0.0,3.0,0.0
2023-01-01,RoW,PAID,pdp_in_stock,no on lyst view,,0.0,0.0,,0.0,68.0,243.0,165.24
2023-01-01,RoW,PAID,pdp_in_stock,web only,333.0,1.0,0.0,15.0,1991.0,23.0,683526.0,157210.98
2023-01-01,RoW,PAID,pdp_out_of_stock,app and web,278.0,2.0,1.0,17.0,31.0,46.0,2669.0,1227.74
2023-01-01,RoW,PAID,pdp_out_of_stock,no on lyst view,,0.0,0.0,,0.0,79.0,61.0,48.19
2023-01-01,RoW,PAID,pdp_out_of_stock,web only,385.0,1.0,0.0,14.0,626.0,37.0,181136.0,67020.32
2023-01-01,RoW,PLA-CO,feed,web only,407.0,1.0,0.0,15.0,1.0,14.0,1094.0,153.16
2023-01-01,RoW,PLA-CO,onboarding,app and web,,0.0,0.0,,0.0,12.0,66.0,7.92
2023-01-01,RoW,PLA-CO,others,app and web,243.0,6.0,1.0,14.0,23.0,15.0,2554.0,383.1
2023-01-01,RoW,PLA-CO,others,app only,259.0,4.0,0.0,10.0,1.0,3.0,754.0,22.62
2023-01-01,RoW,PLA-CO,others,web only,,0.0,0.0,,0.0,4.0,1057.0,42.28
2023-01-01,RoW,PLA-CO,pdp_in_stock,app and web,273.0,11.0,4.0,17.0,21.0,39.0,493.0,192.27
2023-01-01,RoW,PLA-CO,pdp_in_stock,web only,360.0,4.0,0.0,14.0,90.0,9.0,22437.0,2019.33
2023-01-01,RoW,PLA-CO,pdp_out_of_stock,web only,296.0,1.0,0.0,12.0,1.0,7.0,1821.0,127.47
2023-01-01,RoW,PLA-EC,feed,web only,,0.0,0.0,,0.0,1.0,1487.0,14.87
2023-01-01,RoW,PLA-EC,lead,app and web,65.0,1.0,0.0,13.0,1.0,6.0,1371.0,82.26
2023-01-01,RoW,PLA-EC,lead,app only,,0.0,0.0,,0.0,1.0,122.0,1.22
2023-01-01,RoW,PLA-EC,nan,app only,137.0,50.0,2.0,18.0,1.0,4.0,45.0,1.8
2023-01-01,RoW,PLA-EC,nan,web only,,0.0,0.0,,0.0,46.0,26.0,11.96
2023-01-01,RoW,PLA-EC,onboarding,app and web,,0.0,0.0,,0.0,13.0,266.0,34.58
2023-01-01,RoW,PLA-EC,onboarding,app only,947.0,11.0,1.0,16.0,2.0,6.0,293.0,17.58
2023-01-01,RoW,PLA-EC,others,app and web,506.0,5.0,1.0,15.0,121.0,19.0,11349.0,2156.31
2023-01-01,RoW,PLA-EC,others,app only,589.0,6.0,0.0,18.0,11.0,6.0,3133.0,187.98
2023-01-01,RoW,PLA-EC,others,web only,,0.0,0.0,,0.0,3.0,436.0,13.08
2023-01-01,RoW,PLA-EC,pdp_in_stock,app and web,279.0,4.0,2.0,14.0,33.0,46.0,1541.0,708.86
2023-01-01,RoW,PLA-EC,pdp_in_stock,no on lyst view,,0.0,0.0,,0.0,18.0,33.0,5.94
2023-01-01,RoW,PLA-EC,pdp_in_stock,web only,386.0,3.0,1.0,15.0,511.0,27.0,64442.0,17399.34
2023-01-01,RoW,PLA-EC,pdp_out_of_stock,app and web,,0.0,0.0,,0.0,55.0,33.0,18.15
2023-01-01,RoW,PLA-EC,pdp_out_of_stock,web only,244.0,0.0,0.0,16.0,9.0,17.0,16036.0,2726.12
2023-01-01,US,APP PAID,nan,app and web,,0.0,0.0,,0.0,60.0,5.0,3.0
2023-01-01,US,APP PAID,nan,app only,,0.0,0.0,,0.0,14.0,7.0,0.98
2023-01-01,US,CSS,feed,app and web,,0.0,0.0,,0.0,11.0,54.0,5.94
2023-01-01,US,CSS,feed,web only,127.0,3.0,0.0,14.0,1.0,10.0,353.0,35.3
2023-01-01,US,CSS,homepage,web only,1795.0,6.0,1.0,12.0,7.0,13.0,864.0,112.32
2023-01-01,US,CSS,lead,app and web,425.0,4.0,4.0,15.0,550.0,100.0,12157.0,12157.0
2023-01-01,US,CSS,lead,app only,556.0,2.0,2.0,13.0,6.0,99.0,360.0,356.4
2023-01-01,US,CSS,lead,no on lyst view,187.0,2.0,2.0,14.0,45630.0,98.0,2163478.0,2120208.44
2023-01-01,US,CSS,lead,web only,271.0,2.0,2.0,14.0,24507.0,100.0,900833.0,900833.0
2023-01-01,US,CSS,lead_return,no on lyst view,,,0.0,,,0.0,277.0,0.0
2023-01-01,US,CSS,lead_return,web only,,0.0,0.0,,0.0,17.0,6.0,1.02
2023-01-01,US,CSS,nan,no on lyst view,193.0,1.0,1.0,10.0,10.0,98.0,737.0,722.26
2023-01-01,US,CSS,nan,web only,476.0,2.0,2.0,14.0,10.0,99.0,432.0,427.68
2023-01-01,US,CSS,onboarding,app and web,29.0,7.0,2.0,12.0,1.0,25.0,56.0,14.0
2023-01-01,US,CSS,others,app and web,364.0,9.0,2.0,15.0,20.0,24.0,964.0,231.36
2023-01-01,US,CSS,others,app only,394.0,7.0,1.0,21.0,1.0,11.0,123.0,13.53
2023-01-01,US,CSS,others,no on lyst view,,0.0,0.0,,0.0,2.0,62.0,1.24
2023-01-01,US,CSS,others,web only,123.0,2.0,0.0,16.0,24.0,7.0,19509.0,1365.63
2023-01-01,US,CSS,pdp_in_stock,app and web,344.0,15.0,4.0,19.0,8.0,25.0,212.0,53.0
2023-01-01,US,CSS,pdp_in_stock,no on lyst view,,0.0,0.0,,0.0,3.0,87.0,2.61
2023-01-01,US,CSS,pdp_in_stock,web only,255.0,6.0,1.0,14.0,232.0,12.0,31477.0,3777.24
2023-01-01,US,CSS,pdp_out_of_stock,web only,165.0,1.0,0.0,16.0,5.0,9.0,4130.0,371.7
2023-01-01,US,DIRECT,feed,app and web,305.0,8.0,1.0,15.0,2756.0,13.0,253410.0,32943.3
2023-01-01,US,DIRECT,feed,app only,214.0,6.0,0.0,16.0,199.0,6.0,51365.0,3081.9
2023-01-01,US,DIRECT,feed,no on lyst view,,0.0,0.0,,0.0,61.0,168.0,102.48
2023-01-01,US,DIRECT,feed,web only,247.0,3.0,0.0,15.0,4421.0,7.0,2277391.0,159417.37
2023-01-01,US,DIRECT,homepage,app and web,416.0,5.0,2.0,14.0,1740.0,44.0,61980.0,27271.2
