PERIOD_DS,REGION,TRAFFIC_SOURCE,LANDING_PAGE,USERSHIP,AOV,CONVERSION_RATE,BUY2SESSION_RATE,COMMISSION_RATE,ORDER_COUNT,LEAD_GEN_RATE,SESSION_COUNT,PI_COUNT
2022-01-01,US,CSS,lead_return,no on lyst view,,,0.0,,,0.0,1.0,0.0
2022-01-01,US,CSS,lead_return,web only,,0.0,0.0,,0.0,25.0,4.0,1.0
2022-01-01,US,CSS,nan,no on lyst view,391.0,5.0,5.0,10.0,16.0,99.0,296.0,293.04
2022-01-01,US,CSS,nan,web only,190.0,2.0,1.0,10.0,1.0,93.0,68.0,63.24
2022-01-01,US,CSS,onboarding,app and web,273.0,50.0,20.0,17.0,3.0,40.0,10.0,4.0
2022-01-01,US,CSS,others,app and web,140.0,4.0,1.0,16.0,3.0,33.0,138.0,45.54
2022-01-01,US,CSS,others,app only,,0.0,0.0,,0.0,22.0,9.0,1.98
2022-01-01,US,CSS,others,web only,,0.0,0.0,,0.0,11.0,338.0,37.18
2022-01-01,US,CSS,pdp_in_stock,app and web,,0.0,0.0,,0.0,15.0,61.0,9.15
2022-01-01,US,CSS,pdp_in_stock,web only,159.0,6.0,0.0,12.0,17.0,7.0,4119.0,288.33
2022-01-01,US,CSS,pdp_out_of_stock,web only,368.0,3.0,0.0,20.0,1.0,6.0,512.0,30.72
2022-01-01,US,DIRECT,feed,app and web,348.0,3.0,0.0,14.0,39.0,16.0,7187.0,1149.92
2022-01-01,US,DIRECT,feed,app only,526.0,5.0,0.0,19.0,3.0,8.0,749.0,59.92
2022-01-01,US,DIRECT,feed,web only,184.0,3.0,0.0,15.0,133.0,4.0,135327.0,5413.08
2022-01-01,US,DIRECT,homepage,app and web,392.0,4.0,1.0,16.0,148.0,26.0,11512.0,2993.12
2022-01-01,US,DIRECT,homepage,web only,427.0,4.0,1.0,15.0,398.0,14.0,62495.0,8749.3
2022-01-01,US,DIRECT,lead,app and web,343.0,3.0,0.0,18.0,155.0,3.0,177895.0,5336.85
2022-01-01,US,DIRECT,lead,app only,,0.0,0.0,,0.0,0.0,39146.0,0.0
2022-01-01,US,DIRECT,lead,no on lyst view,320.0,0.0,0.0,12.0,12.0,74.0,13644.0,10096.56
2022-01-01,US,DIRECT,lead,web only,203.0,1.0,0.0,17.0,15.0,24.0,4239.0,1017.36
2022-01-01,US,DIRECT,lead_return,app and web,150.0,4.0,0.0,17.0,5.0,12.0,1120.0,134.4
2022-01-01,US,DIRECT,lead_return,app only,,,0.0,,,0.0,22.0,0.0
2022-01-01,US,DIRECT,lead_return,no on lyst view,,0.0,0.0,,0.0,3.0,388.0,11.64
2022-01-01,US,DIRECT,lead_return,web only,328.0,3.0,1.0,18.0,18.0,21.0,3245.0,681.45
2022-01-01,US,DIRECT,nan,app and web,324.0,4.0,1.0,15.0,60.0,20.0,7072.0,1414.4
2022-01-01,US,DIRECT,nan,app only,101.0,1.0,0.0,14.0,10.0,8.0,8659.0,692.72
2022-01-01,US,DIRECT,nan,no on lyst view,,0.0,0.0,,0.0,40.0,5.0,2.0
2022-01-01,US,DIRECT,nan,web only,594.0,0.0,0.0,0.0,1.0,63.0,879.0,553.77
2022-01-01,US,DIRECT,onboarding,app and web,215.0,3.0,0.0,14.0,84.0,13.0,18569.0,2413.97
2022-01-01,US,DIRECT,onboarding,app only,243.0,2.0,0.0,16.0,30.0,3.0,46590.0,1397.7
2022-01-01,US,DIRECT,others,app and web,304.0,4.0,1.0,16.0,5601.0,18.0,680224.0,122440.32
2022-01-01,US,DIRECT,others,app only,200.0,3.0,0.0,15.0,484.0,6.0,292366.0,17541.96
2022-01-01,US,DIRECT,others,web only,336.0,4.0,0.0,17.0,72.0,6.0,26522.0,1591.32
2022-01-01,US,DIRECT,pdp_in_stock,app and web,286.0,3.0,0.0,17.0,25.0,8.0,9739.0,779.12
2022-01-01,US,DIRECT,pdp_in_stock,web only,214.0,4.0,0.0,16.0,144.0,7.0,52972.0,3708.04
2022-01-01,US,DIRECT,pdp_out_of_stock,app and web,251.0,2.0,0.0,13.0,9.0,24.0,2185.0,524.4
2022-01-01,US,DIRECT,pdp_out_of_stock,web only,164.0,1.0,0.0,13.0,100.0,18.0,66107.0,11899.26
2022-01-01,US,ORGANIC,feed,app and web,372.0,3.0,1.0,17.0,335.0,17.0,51210.0,8705.7
2022-01-01,US,ORGANIC,feed,app only,130.0,3.0,0.0,12.0,7.0,6.0,3326.0,199.56
2022-01-01,US,ORGANIC,feed,web only,251.0,3.0,0.0,15.0,3831.0,15.0,771044.0,115656.6
2022-01-01,US,ORGANIC,homepage,app and web,372.0,4.0,1.0,17.0,37.0,16.0,5415.0,866.4
2022-01-01,US,ORGANIC,homepage,web only,286.0,4.0,0.0,16.0,149.0,7.0,47057.0,3293.99
2022-01-01,US,ORGANIC,lead,app and web,325.0,1.0,1.0,17.0,1496.0,95.0,139462.0,132488.9
2022-01-01,US,ORGANIC,lead,app only,207.0,0.0,0.0,16.0,24.0,96.0,5806.0,5573.76
2022-01-01,US,ORGANIC,lead,no on lyst view,295.0,0.0,0.0,16.0,7.0,95.0,2258.0,2145.1
2022-01-01,US,ORGANIC,lead,web only,269.0,2.0,2.0,16.0,1734.0,99.0,103386.0,102352.14
2022-01-01,US,ORGANIC,lead_return,app and web,566.0,1.0,0.0,14.0,12.0,19.0,5417.0,1029.23
2022-01-01,US,ORGANIC,lead_return,no on lyst view,,0.0,0.0,,0.0,23.0,132.0,30.36
2022-01-01,US,ORGANIC,lead_return,web only,280.0,2.0,1.0,17.0,52.0,27.0,7817.0,2110.59
2022-01-01,US,ORGANIC,nan,app and web,273.0,3.0,1.0,16.0,895.0,34.0,91996.0,31278.64
2022-01-01,US,ORGANIC,nan,app only,229.0,2.0,0.0,15.0,168.0,9.0,113783.0,10240.47
2022-01-01,US,ORGANIC,nan,no on lyst view,159.0,2.0,1.0,14.0,112.0,61.0,9176.0,5597.36
2022-01-01,US,ORGANIC,nan,web only,270.0,2.0,1.0,15.0,866.0,45.0,81720.0,36774.0
